time,channel
0.004,-1.281885638860178e-06
0.008,-8.831193826374056e-07
0.012,-4.847494361237043e-07
0.016,-8.725858333078115e-08
0.02,3.0887825216522834e-07
0.024,7.031954439719153e-07
0.027999999999999997,1.0952380114180087e-06
0.032,1.4845628725302083e-06
0.036000000000000004,1.8707399956701816e-06
0.04,2.2533534452306592e-06
0.044000000000000004,2.6320023177529634e-06
0.048,3.0063015656272673e-06
0.052000000000000005,3.37588270621116e-06
0.055999999999999994,3.7403944150097824e-06
0.06,4.099503002839324e-06
0.064,4.452892778632195e-06
0.068,4.800266301351582e-06
0.07200000000000001,5.141344526113214e-06
0.076,5.475866851142767e-06
0.08,5.8035910736313884e-06
0.084,6.1242932635710025e-06
0.08800000000000001,6.437767564937387e-06
0.092,6.743825933191371e-06
0.096,7.042297817364154e-06
0.1,7.333029794374022e-06
0.104,7.615885162880104e-06
0.10800000000000001,7.890743503920566e-06
0.11199999999999999,8.157500215674585e-06
0.11599999999999999,8.416066029672053e-06
0.12,8.666366515411999e-06
0.124,8.908341579584603e-06
0.128,9.141944965008452e-06
0.132,9.367143753082321e-06
0.136,9.583917872068566e-06
0.14,9.792259611944373e-06
0.14400000000000002,9.992173144995923e-06
0.14800000000000002,1.0183674050007066e-05
0.152,1.036678883715453e-05
0.156,1.0541554470932016e-05
0.16,1.0708017889695848e-05
0.16399999999999998,1.086623552231249e-05
0.168,1.1016272803974668e-05
0.172,1.1158203693822101e-05
0.17600000000000002,1.1292110196682377e-05
0.18,1.1418081890795277e-05
0.184,1.1536215463449312e-05
0.188,1.1646614257190864e-05
0.192,1.1749387830384927e-05
0.196,1.1844651536938583e-05
0.2,1.1932526130548403e-05
0.204,1.2013137398773484e-05
0.208,1.208661583167827e-05
0.212,1.2153096328891004e-05
0.21600000000000003,1.2212717947738965e-05
0.22,1.226562369367549e-05
0.22399999999999998,1.2311960352655394e-05
0.228,1.2351878363642116e-05
0.23199999999999998,1.2385531728074404e-05
0.236,1.2413077951721268e-05
0.24,1.2434678012769374e-05
0.244,1.2450496348331228e-05
0.248,1.2460700850207289e-05
0.252,1.2465462860144803e-05
0.256,1.2464957155492765e-05
0.26,1.2459361918281701e-05
0.264,1.2448858683821567e-05
0.268,1.243363226777709e-05
0.272,1.2413870672469446e-05
0.276,1.2389764973630721e-05
0.28,1.2361509188236325e-05
0.28400000000000003,1.232930012291842e-05
0.28800000000000003,1.2293337201460452e-05
0.292,1.2253822269323487e-05
0.29600000000000004,1.2210959372998324e-05
0.3,1.2164954512131548e-05
0.304,1.2116015363083607e-05
0.308,1.2064350974110731e-05
0.312,1.2010171434353225e-05
0.316,1.1953687520304831e-05
0.32,1.1895110323764195e-05
0.324,1.1834650864594017e-05
0.32799999999999996,1.1772519690503168e-05
0.332,1.1708926464904557e-05
0.336,1.1644079542919195e-05
0.34,1.157818553510062e-05
0.34400000000000003,1.1511448858663314e-05
0.34800000000000003,1.1444071276830027e-05
0.35200000000000004,1.1376251428054599e-05
0.35600000000000004,1.1308184347903595e-05
0.36,1.1240060986866062e-05
0.364,1.1172067727144235e-05
0.368,1.1104385900757085e-05
0.37200000000000005,1.1037191310357507e-05
0.376,1.0970653753185952e-05
0.38,1.0904936547665655e-05
0.384,1.084019606163793e-05
0.38799999999999996,1.0776581241834534e-05
0.392,1.0714233146298138e-05
0.396,1.0653284484472922e-05
0.4,1.0593859172336371e-05
0.40399999999999997,1.0536071911417004e-05
0.408,1.0480027800839264e-05
0.412,1.0425821991046085e-05
0.416,1.0373539386911614e-05
0.42,1.0323254406697532e-05
0.424,1.027503080177017e-05
0.428,1.0228921540407668e-05
0.43200000000000005,1.0184968757848532e-05
0.436,1.0143203774349082e-05
0.44,1.0103647183323132e-05
0.444,1.0066309012020973e-05
0.44799999999999995,1.0031188957033947e-05
0.452,9.998276696031755e-06
0.456,9.967552275851248e-06
0.46,9.938986575660934e-06
0.46399999999999997,9.912541842469778e-06
0.46799999999999997,9.888172294747575e-06
0.472,9.865824788628433e-06
0.476,9.845439540341056e-06
0.48,9.826950898020122e-06
0.484,9.810288155506339e-06
0.488,9.79537639997088e-06
0.49200000000000005,9.782137384338347e-06
0.496,9.770490414647276e-06
0.5,9.760353241649503e-06
0.504,9.751642945060263e-06
0.508,9.744276797939573e-06
0.512,9.738173097781372e-06
0.516,9.733251950244921e-06
0.52,9.729435991754345e-06
0.524,9.726651039434805e-06
0.528,9.72482666145423e-06
0.532,9.723896666685614e-06
0.536,9.723799517687576e-06
0.54,9.724478673996418e-06
0.544,9.72588287362872e-06
0.5479999999999999,9.727966360210711e-06
0.552,9.730689061968176e-06
0.556,9.734016727382663e-06
0.56,9.737921020901994e-06
0.5640000000000001,9.742379580779624e-06
0.5680000000000001,9.747376039935877e-06
0.5720000000000001,9.752900009850186e-06
0.5760000000000001,9.758947027140346e-06
0.58,9.765518462543057e-06
0.584,9.772621392003981e-06
0.588,9.780268429276258e-06
0.5920000000000001,9.788477518989784e-06
0.596,9.797271688700178e-06
0.6,9.806678757811039e-06
0.604,9.816731000457406e-06
0.608,9.827464758845955e-06
0.612,9.838920003895626e-06
0.616,9.851139841814306e-06
0.62,9.864169968173217e-06
0.624,9.878058074125604e-06
0.628,9.892853211819135e-06
0.632,9.908605127535883e-06
0.636,9.925363571824498e-06
0.64,9.943177596048873e-06
0.644,9.962094844453172e-06
0.648,9.982160850234525e-06
0.652,1.0003418343677897e-05
0.6559999999999999,1.002590658053952e-05
0.66,1.0049660699427504e-05
0.664,1.0074711117296742e-05
0.6679999999999999,1.0101082971863614e-05
0.672,1.0128795618843196e-05
0.6759999999999999,1.0157862190830515e-05
0.68,1.0188289223627696e-05
0.684,1.022007635480753e-05
0.6880000000000001,1.0253216098143035e-05
0.6920000000000001,1.02876936961186e-05
0.6960000000000001,1.0323487051112043e-05
0.7000000000000001,1.0360566734182657e-05
0.7040000000000001,1.0398896068875756e-05
0.708,1.0438431286070792e-05
0.7120000000000001,1.0479121744614709e-05
0.716,1.0520910211280516e-05
0.72,1.0563733192497138e-05
0.7240000000000001,1.0607521309418956e-05
0.728,1.0652199707314507e-05
0.732,1.0697688489722922e-05
0.736,1.0743903166973052e-05
0.74,1.079075510758268e-05
0.7440000000000001,1.0838151980659813e-05
0.748,1.088599817893061e-05
0.752,1.0934195215808033e-05
0.7559999999999999,1.0982642094806955e-05
0.76,1.1031235653681988e-05
0.764,1.1079870887913419e-05
0.768,1.112844125891502e-05
0.772,1.1176838992282596e-05
0.7759999999999999,1.1224955370960483e-05
0.78,1.12726810276105e-05
0.784,1.1319906239882273e-05
0.7879999999999999,1.1366521231698422e-05
0.792,1.1412416483076019e-05
0.7959999999999999,1.1457483050683906e-05
0.8,1.1501612901651483e-05
0.804,1.1544699264068381e-05
0.8079999999999999,1.1586636998603456e-05
0.812,1.1627322996054405e-05
0.8160000000000001,1.1666656605085019e-05
0.8200000000000001,1.1704540093065462e-05
0.8240000000000001,1.1740879141187975e-05
0.8280000000000001,1.177558337321693e-05
0.8320000000000001,1.1808566915560928e-05
0.836,1.1839748985006042e-05
0.84,1.1869054499540226e-05
0.8440000000000001,1.1896414707067261e-05
0.848,1.1921767825994876e-05
0.852,1.1945059690365411e-05
0.856,1.1966244390597403e-05
0.86,1.198528489957594e-05
0.8640000000000001,1.2002153673057608e-05
0.868,1.2016833212857725e-05
0.872,1.2029316580536191e-05
0.8759999999999999,1.2039607848205788e-05
0.88,1.2047722472427875e-05
0.884,1.2053687578195846e-05
0.888,1.2057542143344454e-05
0.892,1.205933707852304e-05
0.8959999999999999,1.2059135202496689e-05
0.9,1.2057011115876489e-05
0.904,1.205305097821538e-05
0.9079999999999999,1.2047352193916995e-05
0.912,1.2040023011911233e-05
0.9159999999999999,1.2031182043166395e-05
0.92,1.202095769955804e-05
0.924,1.2009487557693418e-05
0.9279999999999999,1.1996917651781479e-05
0.932,1.1983401700345188e-05
0.9359999999999999,1.1969100272535905e-05
0.94,1.1954179900861026e-05
0.944,1.1938812147677407e-05
0.948,1.1923172632312751e-05
0.952,1.1907440024243464e-05
0.956,1.1891795005936119e-05
0.96,1.1876419207221858e-05
0.9640000000000001,1.1861494111589278e-05
0.968,1.1847199933843494e-05
0.972,1.1833714469053495e-05
0.976,1.1821211915465569e-05
0.98,1.1809861678664168e-05
0.9840000000000001,1.1799827168871077e-05
0.988,1.1791264606210027e-05
0.992,1.178432184974703e-05
0.996,1.1779137265887547e-05
1.0,1.1775838651001956e-05
1.004,1.1774542222223744e-05
1.008,1.177535168918911e-05
1.012,1.1778357418029455e-05
1.016,1.1783635697294823e-05
1.02,1.179124811384162e-05
1.024,1.1801241045082589e-05
1.028,1.1813645272236355e-05
1.032,1.1828475717260668e-05
1.036,1.1845731304110563e-05
1.04,1.1865394943012275e-05
1.044,1.1887433634765308e-05
1.048,1.1911798690767386e-05
1.052,1.1938426063400411e-05
1.056,1.1967236780446669e-05
