time,channel
0.004,-1.2055792697280447e-05
0.008,2.4358615495244313e-05
0.012,6.030568101915576e-05
0.016,9.571811694085394e-05
0.02,0.00013052989226099192
0.024,0.00016467646914878934
0.027999999999999997,0.00019809503423554609
0.032,0.00023072472276262196
0.036000000000000004,0.0002625068343948217
0.04,0.0002933850395417273
0.044000000000000004,0.0003233055750791955
0.048,0.0003522174284305359
0.052000000000000005,0.00038007250905064795
0.055999999999999994,0.0004068258064564123
0.06,0.00043243553406309
0.064,0.00045686325821826416
0.068,0.00048007401196936065
0.07200000000000001,0.0005020363932547574
0.076,0.0005227226473671446
0.08,0.0005421087336921082
0.084,0.0005601743768607911
0.08800000000000001,0.0005769031025565307
0.092,0.0005922822582678966
0.096,0.0006063030192786891
0.1,0.0006189603801344701
0.104,0.0006302531317420312
0.10800000000000001,0.000640183824168312
0.11199999999999999,0.0006487587151363379
0.11599999999999999,0.0006559877041917673
0.12,0.000661884252552666
0.124,0.0006664652887661715
0.128,0.0006697511004731123
0.132,0.0006717652128041276
0.136,0.0006725342541690279
0.14,0.0006720878104254021
0.14400000000000002,0.0006704582685959726
0.14800000000000002,0.0006676806514254478
0.152,0.0006637924441152775
0.156,0.0006588334145517427
0.16,0.0006528454282678066
0.16399999999999998,0.0006458722592815429
0.168,0.0006379593978615868
0.172,0.0006291538561978142
0.17600000000000002,0.0006195039729055418
0.18,0.0006090592172611297
0.184,0.0005978699940517118
0.188,0.0005859874499151891
0.192,0.0005734632820396838
0.196,0.0005603495500759849
0.2,0.0005466984920867271
0.204,0.0005325623453104727
0.208,0.0005179931724586906
0.212,0.0005030426941918936
0.21600000000000003,0.0004877621283426204
0.22,0.00047220203637357333
0.22399999999999998,0.0004564121774846653
0.228,0.0004404413707157044
0.23199999999999998,0.0004243373653308511
0.236,0.0004081467197137813
0.24,0.00039191468894652894
0.244,0.00037568512118963895
0.248,0.0003595003629255411
0.252,0.00034340117306862157
0.256,0.00032742664588268275
0.26,0.0003116141425817025
0.264,0.00029599923143095873
0.268,0.00028061563612347313
0.272,0.00026549519218918317
0.276,0.0002506678112012645
0.28,0.00023616145256765198
0.28400000000000003,0.00022200210272400298
0.28800000000000003,0.0002082137615655808
0.292,0.00019481843596210423
0.29600000000000004,0.00018183614018958273
0.3,0.00016928490309052794
0.304,0.00015718078174603144
0.308,0.00014553788141645463
0.312,0.0001343683814847905
0.316,0.00012368256711776772
0.32,0.00011348886634262663
0.324,0.00010379389222094438
0.32799999999999996,9.460248978614732e-05
0.332,8.591778740245634e-05
0.336,7.774125220385654e-05
0.34,7.007274928168036e-05
0.34400000000000003,6.291060430279912e-05
0.34800000000000003,5.625166925048958e-05
0.35200000000000004,5.0091390983417204e-05
0.35600000000000004,4.442388230575062e-05
0.36,3.9241995236561273e-05
0.364,3.453739616274674e-05
0.368,3.030064255847514e-05
0.37200000000000005,2.6521260955594687e-05
0.376,2.3187825852693255e-05
0.38,2.0288039254203007e-05
0.384,1.78088105337098e-05
