,M
0,-1
1,2
2,-2
3,2
4,-1
5,-1
6,2
7,-2
8,2
9,-1
10,0
11,1
12,-2
13,3
14,-3
15,2
16,-1
17,0
18,1
19,-1
20,0
21,1
22,-2
23,2
24,-1
25,0
26,1
27,-2
28,2
29,-1
30,0
31,1
32,-2
33,2
34,-2
35,2
36,-1
37,0
38,1
39,-2
40,3
41,-3
42,3
43,-3
44,3
45,-3
46,4
47,-4
48,3
49,-2
50,1
51,0
52,-1
53,1
54,-1
55,1
56,-1
57,0
58,1
59,-2
60,3
61,-3
62,2
63,-2
64,2
65,-1
66,1
67,-1
68,0
69,0
70,1
71,-1
72,1
73,-1
74,0
75,0
76,1
77,-1
78,1
79,-1
80,0
81,1
82,-2
83,3
84,-3
85,3
86,-3
87,2
88,-1
89,0
90,1
91,-1
92,0
93,0
94,1
95,-3
96,5
97,-6
98,6
99,-5
100,3
101,-1
102,0
103,1
104,-2
105,3
106,-4
107,4
108,-3
109,2
110,-1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,-1
119,2
120,-3
121,4
122,-4
123,3
124,-1
125,0
126,0
127,1
128,-2
129,3
130,-3
131,3
132,-3
133,3
134,-2
135,0
136,2
137,-3
138,4
139,-4
140,2
141,0
142,-1
143,2
144,-3
145,2
146,-1
147,1
148,-1
149,0
150,1
151,-2
152,2
153,-1
154,0
155,1
156,-2
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,-1
177,2
178,-2
179,3
180,-3
181,2
182,-1
183,0
184,1
185,-1
186,1
187,-1
188,1
189,-1
190,0
191,1
192,-1
193,0
194,1
195,-2
196,3
197,-2
198,0
199,1
200,-1
201,0
202,1
203,-1
204,0
205,2
206,-4
207,4
208,-4
209,5
210,-5
211,5
212,-5
213,4
214,-3
215,2
216,-1
217,1
218,-2
219,2
220,-2
221,2
222,-1
223,0
224,0
225,1
226,-2
227,3
228,-3
229,2
230,0
231,-2
232,3
233,-3
234,2
235,0
236,-1
237,1
238,-1
239,1
240,-1
241,2
242,-3
243,3
244,-3
245,2
246,0
247,-1
248,1
249,-2
250,3
251,-3
252,3
253,-3
254,3
255,-3
256,2
257,-1
258,0
259,1
260,-1
261,0
262,0
263,1
264,-1
265,1
266,-1
267,0
268,0
269,2
270,-3
271,3
272,-3
273,2
274,-1
275,-989
276,-944
277,-890
278,-841
279,-783
280,-729
281,-671
282,-612
283,-554
284,-495
285,-435
286,-381
287,-317
288,-268
289,-205
290,-160
291,-100
292,-56
293,-2
294,42
295,88
296,131
297,174
298,214
299,253
300,292
301,329
302,367
303,403
304,441
305,477
306,517
307,554
308,598
309,638
310,682
311,731
312,775
313,829
314,878
315,930
316,986
317,1035
318,1091
319,1135
320,1186
321,1224
322,1264
323,1288
324,1314
325,1322
326,1331
327,1320
328,1310
329,1285
330,1253
331,1219
332,1173
333,1131
334,1086
335,1040
336,1000
337,964
338,935
339,914
340,903
341,898
342,907
343,919
344,944
345,966
346,1002
347,1027
348,1063
349,1087
350,1108
351,1122
352,1126
353,1121
354,1105
355,1079
356,1040
357,998
358,940
359,886
360,818
361,754
362,686
363,619
364,558
365,495
366,439
367,387
368,339
369,292
370,255
371,210
372,177
373,138
374,100
375,58
376,21
377,-29
378,-70
379,-124
380,-175
381,-228
382,-288
383,-340
384,-405
385,-455
386,-520
387,-570
388,-632
389,-680
390,-734
391,-784
392,-831
393,-878
394,-923
395,-961
396,-1005
397,-1040
398,-1075
399,-1109
400,-1135
401,-1165
402,-1185
403,-1204
404,-1220
405,-1229
406,-1237
407,-1237
408,-1234
409,-1229
410,-1214
411,-1200
412,-1177
413,-1150
414,-1122
415,-1084
416,-1045
417,-998
418,-948
419,-891
420,-832
421,-764
422,-694
423,-620
424,-541
425,-459
426,-378
427,-291
428,-208
429,-127
430,-41
431,32
432,111
433,177
434,245
435,300
436,360
437,402
438,452
439,486
440,525
441,551
442,584
443,605
444,631
445,652
446,668
447,689
448,700
449,716
450,724
451,732
452,732
453,734
454,723
455,716
456,694
457,671
458,642
459,603
460,561
461,509
462,452
463,388
464,318
465,240
466,158
467,66
468,-27
469,-130
470,-235
471,-347
472,-460
473,-583
474,-701
475,-829
476,-951
477,-1078
478,-1204
479,-1327
480,-1452
481,-1567
482,-1685
483,-1795
484,-1904
485,-2006
486,-2103
487,-2199
488,-2283
489,-2372
490,-2450
491,-2529
492,-2602
493,-2674
494,-2742
495,-2809
496,-2877
497,-2939
498,-3006
499,-3066
500,-3135
501,-3195
502,-3265
503,-3329
504,-3396
505,-3468
506,-3535
507,-3607
508,-3673
509,-3744
510,-3806
511,-3867
512,-3917
513,-3962
514,-3990
515,-4009
516,-4006
517,-3989
518,-3945
519,-3881
520,-3791
521,-3676
522,-3534
523,-3364
524,-3171
525,-2948
526,-2706
527,-2431
528,-2144
529,-1825
530,-1493
531,-1134
532,-755
533,-360
534,64
535,501
536,971
537,1452
538,1969
539,2498
540,3058
541,3633
542,4229
543,4842
544,5461
545,6097
546,6722
547,7353
548,7964
549,8566
550,9136
551,9688
552,10195
553,10670
554,11106
555,11490
556,11843
557,12138
558,12403
559,12618
560,12797
561,12942
562,13046
563,13131
564,13170
565,13195
566,13181
567,13145
568,13077
569,12979
570,12845
571,12678
572,12466
573,12221
574,11919
575,11582
576,11184
577,10745
578,10250
579,9708
580,9115
581,8476
582,7795
583,7071
584,6312
585,5520
586,4700
587,3857
588,2996
589,2117
590,1235
591,340
592,-547
593,-1440
594,-2315
595,-3185
596,-4034
597,-4865
598,-5671
599,-6447
600,-7196
601,-7905
602,-8584
603,-9218
604,-9817
605,-10374
606,-10887
607,-11367
608,-11797
609,-12202
610,-12555
611,-12886
612,-13174
613,-13432
614,-13662
615,-13856
616,-14024
617,-14162
618,-14268
619,-14348
620,-14398
621,-14415
622,-14409
623,-14369
624,-14309
625,-14219
626,-14106
627,-13981
628,-13830
629,-13677
630,-13509
631,-13340
632,-13169
633,-13005
634,-12837
635,-12688
636,-12532
637,-12391
638,-12252
639,-12110
640,-11973
641,-11818
642,-11659
643,-11476
644,-11273
645,-11040
646,-10775
647,-10472
648,-10133
649,-9748
650,-9328
651,-8861
652,-8358
653,-7816
654,-7236
655,-6629
656,-5983
657,-5321
658,-4624
659,-3915
660,-3177
661,-2426
662,-1658
663,-867
664,-72
665,752
666,1578
667,2427
668,3284
669,4152
670,5033
671,5917
672,6809
673,7698
674,8590
675,9470
676,10346
677,11205
678,12045
679,12867
680,13660
681,14422
682,15154
683,15846
684,16495
685,17104
686,17655
687,18161
688,18601
689,18988
690,19302
691,19552
692,19728
693,19829
694,19857
695,19802
696,19677
697,19470
698,19195
699,18849
700,18435
701,17967
702,17440
703,16871
704,16259
705,15618
706,14945
707,14258
708,13551
709,12833
710,12113
711,11375
712,10646
713,9899
714,9156
715,8402
716,7637
717,6867
718,6082
719,5285
720,4480
721,3656
722,2829
723,1989
724,1146
725,304
726,-534
727,-1363
728,-2177
729,-2971
730,-3738
731,-4475
732,-5177
733,-5841
734,-6463
735,-7042
736,-7574
737,-8066
738,-8507
739,-8907
740,-9266
741,-9577
742,-9858
743,-10094
744,-10300
745,-10470
746,-10613
747,-10723
748,-10813
749,-10869
750,-10914
751,-10925
752,-10927
753,-10904
754,-10862
755,-10815
756,-10733
757,-10657
758,-10549
759,-10437
760,-10308
761,-10158
762,-10003
763,-9822
764,-9631
765,-9416
766,-9190
767,-8935
768,-8672
769,-8377
770,-8070
771,-7739
772,-7393
773,-7024
774,-6646
775,-6247
776,-5841
777,-5423
778,-4996
779,-4573
780,-4138
781,-3712
782,-3285
