,M
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,-2
8,3
9,-4
10,4
11,-3
12,3
13,-3
14,3
15,-3
16,2
17,0
18,-1
19,2
20,-3
21,2
22,0
23,-1
24,2
25,-3
26,3
27,-2
28,1
29,0
30,-1
31,2
32,-3
33,3
34,-3
35,3
36,-2
37,1
38,-1
39,0
40,1
41,-1
42,1
43,-1
44,0
45,1
46,-2
47,2
48,-1
49,-1
50,3
51,-4
52,4
53,-3
54,1
55,0
56,0
57,0
58,1
59,-2
60,1
61,0
62,0
63,1
64,-1
65,0
66,0
67,0
68,1
69,-1
70,1
71,-1
72,0
73,0
74,1
75,-1
76,1
77,-1
78,0
79,1
80,-1
81,1
82,-1
83,1
84,-1
85,0
86,1
87,-1
88,1
89,0
90,-2
91,3
92,-3
93,2
94,0
95,-1
96,2
97,-3
98,2
99,-1
100,1
101,-1
102,1
103,-1
104,0
105,1
106,-2
107,2
108,-1
109,0
110,0
111,1
112,-2
113,3
114,-4
115,4
116,-3
117,2
118,-1
119,-1
120,3
121,-3
122,2
123,-1
124,-1
125,3
126,-3
127,2
128,-1
129,0
130,1
131,-2
132,2
133,-1
134,0
135,0
136,0
137,1
138,-2
139,3
140,-4
141,4
142,-2
143,0
144,2
145,-4
146,5
147,-4
148,3
149,-2
150,1
151,-1
152,2
153,-3
154,4
155,-4
156,3
157,-1
158,-2
159,4
160,-4
161,3
162,-2
163,1
164,-1
165,1
166,0
167,0
168,0
169,-2
170,3
171,-2
172,2
173,-2
174,1
175,-1
176,2
177,-2
178,2
179,-2
180,2
181,-2
182,1
183,0
184,1
185,-2
186,2
187,-2
188,2
189,-2
190,2
191,-3
192,4
193,-4
194,4
195,-3
196,1
197,0
198,-1
199,1
200,1
201,-2
202,2
203,-2
204,0
205,2
206,-2
207,2
208,-2
209,0
210,2
211,-3
212,3
213,-2
214,0
215,2
216,-3
217,3
218,-3
219,3
220,-3
221,3
222,-2
223,1
224,0
225,-1
226,2
227,-3
228,4
229,-4
230,3
231,-2
232,1
233,0
234,0
235,0
236,-1
237,1
238,0
239,0
240,-1
241,2
242,-3
243,4
244,-4
245,3
246,-2
247,1
248,0
249,0
250,-1
251,2
252,-2
253,1
254,0
255,0
256,-1
257,2
258,-3
259,3
260,-1
261,-1
262,2
263,-3
264,3
265,-2
266,1
267,0
268,-1
269,2
270,-2
271,1
272,-1
273,0
274,2
275,-2
276,2
277,-3
278,3
279,-2
280,2
281,-2
282,1
283,0
284,0
285,0
286,0
287,-1
288,1
289,0
290,-1
291,1
292,-1
293,1
294,0
295,0
296,-2
297,3
298,-2
299,1
300,1
301,-3
302,3
303,-2
304,1
305,0
306,0
307,0
308,-1
309,2
310,-2
311,2
312,-1
313,-1
314,2
315,-2
316,2
317,-1
318,0
319,0
320,0
321,0
322,0
323,1
324,-2
325,3
326,-3
327,2
328,-1
329,0
330,1
331,0
332,-1
333,1
334,-1
335,1
336,0
337,0
338,0
339,-1
340,2
341,-2
342,1
343,0
344,-1
345,1
346,-1
347,1
348,-1
349,2
350,-3
351,3
352,-3
353,2
354,-1
355,1
356,0
357,-1
358,1
359,-2
360,3
361,-3
362,3
363,-2
364,1
365,-1
366,1
367,0
368,0
369,0
370,-1
371,1
372,1
373,-2
374,3
375,-4
376,3
377,-1
378,0
379,1
380,-2
381,2
382,-1
383,0
384,1
385,-1
386,0
387,1
388,-2
389,2
390,-1
391,0
392,1
393,-2
394,2
395,-1
396,0
397,1
398,-1
399,1
400,-1
401,1
402,-1
403,1
404,-1
405,1
406,-1
407,0
408,1
409,-1
410,1
411,-1
412,1
413,-2
414,3
415,-3
416,3
417,-2
418,0
419,1
420,-1
421,1
422,-1
423,0
424,1
425,-1
426,1
427,-1
428,0
429,0
430,1
431,-1
432,1
433,-2
434,2
435,-2
436,3
437,-3
438,3
439,-3
440,2
441,-1
442,1
443,0
444,-1
445,1
446,-1
447,1
448,0
449,-2
450,3
451,-3
452,3
453,-3
454,3
455,-3
456,3
457,-2
458,0
459,1
460,-1
461,0
462,1
463,-1
464,0
465,1
466,-2
467,2
468,-1
469,0
470,1
471,-1
472,0
473,1
474,-2
475,2
476,-1
477,-1
478,2
479,-1
480,-1
481,3
482,-4
483,3
