,M
0,0
1,1
2,-2
3,2
4,-1
5,0
6,1
7,-2
8,2
9,-2
10,3
11,-3
12,1
13,1
14,-2
15,3
16,-4
17,3
18,-1
19,0
20,1
21,-2
22,1
23,0
24,0
25,0
26,0
27,-1
28,1
29,0
30,0
31,-1
32,1
33,0
34,-1
35,2
36,-3
37,3
38,-2
39,1
40,-1
41,2
42,-2
43,1
44,0
45,-1
46,2
47,-2
48,2
49,-2
50,2
51,-2
52,2
53,-2
54,2
55,-2
56,2
57,-2
58,2
59,-2
60,1
61,0
62,0
63,0
64,0
65,-1
66,1
67,0
68,0
69,0
70,0
71,0
72,-1
73,2
74,-3
75,4
76,-4
77,4
78,-3
79,1
80,0
81,-1
82,2
83,-1
84,0
85,1
86,-2
87,2
88,-2
89,2
90,-2
91,3
92,-4
93,4
94,-3
95,1
96,1
97,-2
98,2
99,-1
100,0
101,0
102,0
103,0
104,0
105,1
106,-3
107,4
108,-4
109,3
110,-1
111,0
112,0
113,0
114,-1
115,1
116,0
117,0
118,0
119,-1
120,1
121,-2
122,3
123,-3
124,2
125,-1
126,0
127,0
128,1
129,-3
130,5
131,-6
132,5
133,-3
134,2
135,-1
136,0
137,1
138,-2
139,2
140,-1
141,0
142,1
143,-2
144,2
145,-1
146,0
147,0
148,0
149,0
150,1
151,-2
152,2
153,-2
154,2
155,-1
156,0
157,0
158,1
159,-3
160,4
161,-3
162,1
163,1
164,-3
165,3
166,-2
167,2
168,-2
169,1
170,-1
171,2
172,-2
173,1
174,0
175,-1
176,2
177,-2
178,1
179,0
180,-1
181,1
182,0
183,-1
184,1
185,-1
186,1
187,0
188,-2
189,2
190,-1
191,1
192,0
193,-2
194,2
195,-1
196,0
197,1
198,-1
199,1
200,-1
201,1
202,-1
203,1
204,0
205,0
206,-1
207,1
208,0
209,-1
210,2
211,-3
212,2
213,0
214,-1
215,0
216,1
217,-1
218,1
219,0
220,-2
221,3
222,-2
223,1
224,0
225,0
226,-1
227,3
228,-5
229,6
230,-5
231,4
232,-2
233,-1
234,3
235,-3
236,2
237,0
238,-2
239,3
240,-3
241,2
242,-1
243,1
244,-1
245,1
246,-1
247,1
248,0
249,-1
250,1
251,-1
252,1
253,0
254,-1
255,1
256,-1
257,1
258,-1
259,1
260,0
261,-1
262,1
263,0
264,-1
265,3
266,-5
267,5
268,-4
269,3
270,-1
271,-1
272,1
273,0
274,-1
275,2
276,-2
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,-1
287,1
288,0
289,0
290,0
291,0
292,-1
293,1
294,0
295,-1
296,3
297,-5
298,5
299,-4
300,3
301,-2
302,1
303,0
304,-1
305,2
306,-2
307,1
308,1
309,-2
310,1
311,1
312,-3
313,4
314,-3
315,2
316,-1
317,-1
318,2
319,-2
320,3
321,-3
322,2
323,-1
324,0
325,0
326,0
327,0
328,0
329,0
330,-1
331,2
332,-2
333,1
334,-1
335,1
336,-1
337,2
338,-2
339,1
340,-1
341,1
342,-1
343,2
344,-3
345,3
346,-3
347,2
348,0
349,-2
350,3
351,-3
352,2
353,-1
354,1
355,-2
356,3
357,-4
358,4
359,-3
360,2
361,-2
362,2
363,-2
364,2
365,-1
366,-1
367,2
368,-2
369,2
370,-1
371,1
372,-2
373,3
374,-4
375,5
376,-5
377,4
378,-2
379,0
380,1
381,-1
382,0
383,1
384,-2
385,3
386,-3
387,2
388,0
389,-2
390,3
391,-3
392,2
393,0
394,-1
395,1
396,-1
397,1
398,-1
399,1
400,-1
401,1
402,-1
403,1
404,-2
405,2
406,-2
407,3
408,-3
409,2
410,-1
411,0
412,0
413,1
414,-1
415,1
416,-1
417,1
418,-2
419,3
420,-3
421,2
422,-1
423,0
424,0
425,1
426,-2
427,2
428,-1
429,-1
430,3
431,-4
432,4
433,-2
434,0
435,1
436,-2
437,3
438,-3
439,2
440,0
441,-2
442,3
443,-3
444,1
445,1
446,-2
447,3
448,-3
449,1
450,1
451,-2
452,2
453,-1
454,0
455,1
456,-1
457,1
458,-2
459,3
460,-3
461,2
462,0
463,-2
464,3
465,-4
466,4
467,-3
468,2
469,-1
470,0
471,-1
472,3
473,-4
474,5
475,-5
476,3
477,-2
478,2
479,-1
480,1
481,-2
482,2
483,-2
484,2
485,-2
486,2
487,-2
488,1
489,0
490,-1
491,1
492,-1
493,1
494,-1
495,1
496,-1
497,2
498,-2
499,1
500,0
501,-1
502,2
503,-2
504,2
505,-2
506,2
507,-3
508,3
509,-3
510,3
511,-2
512,1
513,-1
514,1
515,-1
516,1
517,0
518,-1
519,1
520,0
521,0
522,-1
523,1
524,-1
525,2
526,-2
527,1
528,-2
529,3
530,-2
531,1
532,0
533,-1
534,1
535,0
536,0
537,-1
538,2
539,-2
540,1
541,1
542,-3
543,3
544,-2
545,1
546,0
547,-1
548,2
549,-3
550,3
551,-3
552,2
553,0
554,-1
555,1
556,-1
557,0
558,2
559,-3
560,3
561,-3
562,3
563,-3
564,3
565,-3
566,2
567,-1
568,0
569,0
570,0
571,1
572,-3
573,4
574,-4
575,4
576,-3
577,1
578,0
579,0
580,0
581,1
582,-2
583,2
584,-1
585,0
586,1
587,-1
588,1
589,-1
590,1
591,0
592,-1
593,2
594,-3
595,3
596,-2
597,1
598,-1
599,1
600,-1
601,1
602,-1
603,0
604,0
605,1
606,-1
607,1
608,-2
609,3
610,-3
611,3
612,-3
613,3
614,-3
615,3
616,-3
617,2
618,-1
619,1
620,-2
621,2
622,-1
623,-1
624,3
625,-4
626,3
627,-1
628,0
629,0
630,0
631,0
632,0
633,1
634,-1
635,0
636,0
637,0
638,1
639,-1
640,0
641,0
642,0
643,1
644,-2
645,2
646,-2
647,2
648,-1
649,-1
650,2
651,-2
652,2
653,-1
654,0
655,0
656,0
657,0
658,0
659,1
660,-2
661,3
662,-4
663,4
664,-3
665,1
666,1
667,-2
668,3
669,-3
670,1
671,0
672,0
673,1
674,-2
675,1
676,0
677,0
678,1
679,-2
680,1
681,0
682,-1
683,3
684,-4
685,4
686,-4
687,3
688,-1
689,0
690,0
691,0
692,0
693,0
694,1
695,-2
696,2
697,-2
698,3
699,-4
700,5
701,-5
702,4
703,-2
704,0
705,1
706,-1
707,1
708,-1
709,0
710,1
711,-1
712,1
713,-1
714,-1
715,3
716,-3
717,3
718,-3
719,2
720,-1
721,1
722,-1
723,1
724,-1
725,0
726,2
727,-3
728,2
729,0
730,-3
731,5
732,-4
733,1
734,2
735,-4
736,4
737,-2
738,0
739,1
740,-1
741,0
742,1
743,-2
744,3
745,-3
746,2
747,-1
748,0
749,0
750,0
751,1
752,-1
753,1
754,-1
755,0
756,0
757,1
758,-1
759,0
760,1
761,-2
762,2
763,0
764,-3
765,5
766,-5
767,4
768,-3
769,2
770,-1
771,1
772,-2
773,3
774,-4
775,4
776,-3
777,2
778,-1
779,0
780,0
781,0
782,1
783,-2
784,2
785,-2
786,2
787,-2
788,2
789,-2
790,1
791,1
792,-3
793,3
794,-1
795,0
796,0
797,-1
798,1
799,0
800,1
801,-2
802,2
803,-2
804,1
805,0
806,-1
807,2
808,-2
809,1
810,0
811,-1
812,2
813,-3
814,3
815,-2
816,2
817,-2
818,2
819,-3
820,4
821,-4
822,3
823,-2
824,1
825,1
826,-3
827,4
828,-5
829,5
830,-4
831,3
832,-2
833,2
834,-2
835,1
836,-1
837,1
838,1
839,-3
840,4
841,-5
842,5
843,-3
844,0
845,2
846,-2
847,1
848,0
849,-2
850,3
851,-2
852,1
853,0
854,-2
855,3
856,-2
857,1
858,0
859,-1
860,1
861,0
862,-1
863,2
864,-3
865,3
866,-2
867,1
868,-1
869,2
870,-3
871,3
872,-2
873,1
874,0
875,0
876,-1
877,2
878,-2
879,2
880,-2
881,2
882,-1
883,0
884,0
885,1
886,-2
887,3
888,-3
889,2
890,-1
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,-1
900,2
901,-2
902,2
903,-1
904,-1
905,3
906,-4
907,3
908,-1
909,0
910,1
911,-2
912,1
913,1
914,-2
915,3
916,-4
917,4
918,-3
919,2
920,-2
921,2
922,-1
923,0
924,0
925,0
926,0
927,1
928,-2
929,2
930,-2
931,2
932,-1
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,-1
941,1
942,0
943,0
944,0
945,0
946,-1
947,2
948,-2
949,2
950,-1
951,0
952,0
953,0
954,-1
955,3
956,-3
957,2
958,-1
959,0
960,0
961,1
962,-2
963,3
964,-4
965,5
966,-5
967,3
968,-1
969,0
970,1
971,0
972,-2
973,2
974,-1
975,1
976,-1
977,1
978,-1
979,1
